ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01051073,2009,0.243,0.4103,0.3077,0.0513,0.0769,0.0769,0,0,78,321
01051074,2009,0.3309,0.3974,0.2399,0.1176,0.1345,0.0435,0,0,1955,5908
01051075,2009,0.3035,0.361,0.2407,0.1079,0.1328,0.0581,0,0,241,794
01051076,2009,0.403,0.4764,0.1934,0.0755,0.1368,0.0236,0,0,212,526
01051077,2009,0.5607,0.6333,0.0667,0.0833,0.1667,0.0167,0,0,60,107
01051078,2009,0.3434,0.4101,0.1735,0.1041,0.1703,0.0536,0,0,317,923
01051079,2009,0.4023,0.3913,0.2971,0.0435,0.1667,0.029,0,0,138,343
01051080,2009,0.4667,0.5102,0.1633,0.102,0.102,0,0,0,49,105
01051081,2009,0.4087,0.5532,0.1277,0.0957,0.1489,0.0319,0,0,94,230
01051082,2009,0.3384,0.4701,0.2156,0.0848,0.1154,0.025,0,0,719,2125
01051083,2009,0.444,0.4609,0.2522,0.0174,0.1478,0.0261,0,0,115,259
01051084,2009,0.399,0.5309,0.1728,0.0247,0.1111,0,0,0,81,203
01051085,2009,0.4093,0.7216,0.0619,0.0412,0.0825,0.0412,0,0,97,237
01051086,2009,0.4146,0.5294,0.1961,0.098,0.085,0.0327,0,0,153,369
01051087,2009,0.3497,0.3755,0.2744,0.065,0.1552,0.0181,0,0,277,792
01051088,2009,0.3087,0.419,0.2394,0.0563,0.1831,0.0352,0,0,284,920
01051089,2009,0.4671,0.4487,0.1282,0.1282,0.1538,0.0385,0,0,78,167
01051090,2009,0.4524,0.6842,0.1053,0.0175,0.1228,0.0526,0,0,57,126
01051092,2009,0.3045,0.4403,0.2239,0.0597,0.1269,0.0672,0,0,134,440
01051093,2009,0.3705,0.3659,0.1789,0.0976,0.2439,0.0325,0,0,123,332
01051096,2009,0.3992,0.4857,0.2,0.1524,0.0952,0.0286,0,0,105,263
01051097,2009,0.2865,0.4807,0.1795,0.0711,0.1361,0.0398,0,0,830,2897
01051098,2009,0.3677,0.3364,0.2991,0.1028,0.1075,0.0748,0,0,214,582
01051099,2009,0.3358,0.4469,0.1907,0.0845,0.1417,0.0354,0,0,367,1093
01051100,2009,0.3224,0.5924,0.0892,0.0701,0.1847,0.0255,0,0,157,487
01051102,2009,0.4213,0.5181,0.1446,0.1205,0.0843,0.0602,0,0,83,197
01051103,2009,0.3743,0.4844,0.2031,0.0781,0.125,0.0156,0,0,64,171
01051104,2009,0.4857,0.7647,0.0588,0,0.1176,0.0294,0,0,34,70
01051105,2009,0.3952,0.3946,0.2857,0.0408,0.1361,0.0476,0,0,147,372
01051107,2009,0.3377,0.4923,0.1923,0.0385,0.1615,0.0308,0,0,130,385
01051108,2009,0.561,0.5652,0.2609,0.0652,0.0652,0,0,0,46,82
01051109,2009,0.3053,0.4569,0.2586,0.0948,0.1293,0.0086,0,0,116,380
01051110,2009,0.3596,0.5316,0.173,0.038,0.1435,0.0338,0,0,237,659
01051113,2009,0.2935,0.47,0.2397,0.0662,0.1199,0.0347,0,0,317,1080
01051114,2009,0.3383,0.4949,0.1781,0.0555,0.1562,0.0277,0,0,685,2025
01051117,2009,0.4191,0.614,0.0526,0.0351,0.193,0.0175,0,0,57,136
01051118,2009,0.4711,0.3019,0.217,0.1415,0.2264,0.0189,0,0,106,225
01051119,2009,0.3978,0.5607,0.1402,0.1215,0.0841,0.0374,0,0,107,269
01051120,2009,0.7097,0.1364,0.0455,0.2273,0.2727,0.1364,0,0,22,31
01051121,2009,0.4764,0.4455,0.297,0.0792,0.1089,0.0099,0,0,101,212
01051122,2009,0.3198,0.4071,0.2162,0.1115,0.1385,0.0321,0,0,592,1851
01051125,2009,0.3192,0.5929,0.1504,0.0619,0.1239,0.0265,0,0,113,354
01051126,2009,0.6154,0.65,0.15,0,0.125,0,0,0,40,65
01051127,2009,0.2993,0.4121,0.2376,0.0522,0.1648,0.0412,0,0,728,2432
01051128,2009,0.5086,0.3729,0.2203,0.1186,0.1864,0.0508,0,0,59,116
01051129,2009,0.3577,0.5306,0.2041,0.0204,0.102,0.0408,0,0,49,137
01051130,2009,0.363,0.4093,0.2206,0.1103,0.1495,0.0466,0,0,408,1124
01051131,2009,0.5833,0.449,0.0816,0.1429,0.2245,0.0204,0,0,49,84
01051132,2009,0.3406,0.4578,0.2932,0.0683,0.1004,0.0321,0,0,249,731
01051133,2009,0.5909,0.6667,0.0385,0.0641,0.1795,0.0128,0,0,78,132
01051134,2009,0.3746,0.5124,0.1736,0.0785,0.124,0.0289,0,0,242,646
01051135,2009,0.5172,0.4148,0.1185,0.1259,0.1852,0.037,0,0,135,261
01051136,2009,0.4251,0.6148,0.1393,0.0328,0.1598,0.0123,0,0,244,574
01051137,2009,0.3691,0.593,0.186,0.0465,0.1279,0.0233,0,0,172,466
01051138,2009,0.3829,0.568,0.1214,0.0728,0.1456,0.0388,0,0,206,538
01051139,2009,0.4626,0.625,0.0809,0.0588,0.1544,0.0074,0,0,136,294
01051140,2009,0.4395,0.5204,0.1633,0.0816,0.1633,0.0102,0,0,98,223
01051141,2009,0.3665,0.5607,0.1098,0.1156,0.1214,0.0231,0,0,173,472
01053001,2009,0.6964,0.3846,0.1538,0.1282,0.2051,0,0,0,39,56
01053002,2009,0.3816,0.4176,0.1877,0.1686,0.1303,0.023,0,0,261,684
01053003,2009,0.5169,0.4172,0.1573,0.1717,0.1763,0.0243,0,0,1316,2546
01053004,2009,0.5038,0.4144,0.1622,0.1231,0.1502,0.039,0,0,333,661
01053005,2009,0.4973,0.5543,0.0761,0.0652,0.2174,0.0217,0,0,92,185
01053006,2009,0.3727,0.3515,0.2277,0.0693,0.1238,0.0347,0,0,202,542
01053007,2009,0.4424,0.4366,0.1831,0.1408,0.1127,0.0211,0,0,142,321
01053008,2009,0.5119,0.4305,0.1523,0.2252,0.1126,0.0199,0,0,151,295
01053009,2009,0.355,0.3748,0.2948,0.1368,0.0835,0.032,0,0,563,1586
01053010,2009,0.6377,0.5455,0.2727,0,0.0455,0.0682,0,0,44,69
01053011,2009,0.4709,0.2675,0.3045,0.2387,0.07,0.0494,0,0,243,516
01053012,2009,0.4652,0.3205,0.2714,0.1785,0.1407,0.0303,0,0,1485,3192
01053013,2009,0.52,0.3419,0.1709,0.1966,0.2051,0.0427,0,0,117,225
01053014,2009,0.4168,0.3893,0.2349,0.0923,0.1359,0.057,0,0,596,1430
01053015,2009,0.4211,0.4271,0.2292,0.0625,0.0625,0.0938,0,0,96,228
01053016,2009,0.6541,0.3563,0.3333,0.1034,0.0805,0.046,0,0,87,133
01053017,2009,0.3882,0.4192,0.2374,0.101,0.1162,0.0455,0,0,198,510
01053018,2009,0.6868,0.296,0.192,0.312,0.112,0.016,0,0,125,182
01053019,2009,0.4514,0.4154,0.1692,0.0923,0.1846,0.0308,0,0,65,144
01053020,2009,0.3797,0.3435,0.2774,0.1346,0.1012,0.0351,0,0,1709,4501
01053021,2009,0.5455,0.4545,0.1212,0.0606,0.2576,0,0,0,66,121
01053022,2009,0.4982,0.482,0.2014,0.1079,0.0935,0.0144,0,0,139,279
01053023,2009,0.4618,0.3954,0.2066,0.1264,0.1496,0.0329,0,0,1123,2432
01053024,2009,0.5037,0.5294,0.2206,0.1324,0.1029,0,0,0,68,135
01053025,2009,0.4556,0.4579,0.1579,0.1684,0.1316,0.0105,0,0,190,417
01053026,2009,0.4938,0.4025,0.239,0.1447,0.1006,0.0503,0,0,159,322
01053027,2009,0.398,0.4212,0.2308,0.0733,0.1722,0.022,0,0,273,686
01053028,2009,0.4579,0.3411,0.2358,0.1822,0.1304,0.0397,0,0,1158,2529
01053029,2009,0.4566,0.3967,0.2562,0.1488,0.0331,0.0744,0,0,121,265
01053030,2009,0.5405,0.05,0.1,0.45,0.2,0,0,0,20,37
01053031,2009,0.5514,0.4478,0.1418,0.1269,0.1119,0.0149,0,0,134,243
01053032,2009,0.3443,0.3349,0.2652,0.1302,0.1273,0.0511,0,0,7821,22714
01053033,2009,0.7073,0.4483,0.1034,0.1724,0.2069,0.0172,0,0,58,82
01053034,2009,0.489,0.5056,0.2022,0.1011,0.1236,0.0449,0,0,89,182
01053035,2009,0.75,0.3611,0.1944,0.25,0.0556,0,0,0,36,48
01053036,2009,0.4402,0.5049,0.1165,0.1262,0.1553,0.0097,0,0,103,234
01053037,2009,0.4836,0.3704,0.216,0.142,0.1852,0.037,0,0,162,335
01053038,2009,0.3114,0.3176,0.3294,0.1529,0.0588,0.0118,0,0,85,273
01053039,2009,0.486,0.2414,0.2529,0.1034,0.2414,0.069,0,0,87,179
01053040,2009,0.5946,0.7045,0.1136,0.0682,0.1136,0,0,0,44,74
01053041,2009,0.4768,0.3751,0.2289,0.1601,0.1434,0.0327,0,0,1437,3014
01053042,2009,0.5652,0.6308,0.2,0.0154,0.0769,0.0154,0,0,65,115
01053043,2009,0.4354,0.4233,0.1967,0.15,0.1267,0.0267,0,0,300,689
01053044,2009,0.4207,0.2914,0.2343,0.2057,0.1429,0.0514,0,0,175,416
01053045,2009,0.4638,0.3958,0.125,0.125,0.2396,0.0312,0,0,96,207
01053046,2009,0.3562,0.447,0.2415,0.1038,0.1059,0.0212,0,0,472,1325
01053047,2009,0.4627,0.4423,0.244,0.0828,0.1068,0.0174,0,0,459,992
01053048,2009,0.4147,0.4431,0.2567,0.1259,0.0799,0.0218,0,0,413,996
01053049,2009,0.4987,0.399,0.1768,0.1667,0.1465,0.0303,0,0,198,397
01053050,2009,0.4649,0.378,0.2715,0.079,0.1753,0.0206,0,0,291,626
01053051,2009,0.4777,0.5514,0.2056,0.0467,0.1308,0.0187,0,0,107,224
01053052,2009,0.4923,0.5312,0.1406,0.0938,0.125,0.0156,0,0,64,130
01053053,2009,0.4516,0.4121,0.1923,0.1209,0.1538,0.0385,0,0,182,403
01053054,2009,0.4232,0.3973,0.2877,0.1096,0.0822,0.0479,0,0,146,345
01053056,2009,0.4313,0.3478,0.2319,0.1884,0.058,0,0,0,69,160
01053057,2009,0.5251,0.4957,0.2174,0.0696,0.1304,0.0348,0,0,115,219
01053058,2009,0.4786,0.4627,0.2388,0.0896,0.1194,0.0448,0,0,67,140
01053059,2009,0.6971,0.3033,0.1475,0.2623,0.1639,0.0328,0,0,122,175
01053060,2009,0.4724,0.4813,0.1402,0.1262,0.1121,0.0701,0,0,214,453
01053061,2009,0.3303,0.2931,0.2793,0.1172,0.1483,0.0586,0,0,290,878
01053062,2009,0.5431,0.5047,0.1963,0.0467,0.1589,0.0374,0,0,107,197
01053064,2009,0.4481,0.3333,0.2685,0.1019,0.1157,0.0741,0,0,216,482
01053066,2009,0.4778,0.4639,0.1546,0.1753,0.134,0.0412,0,0,97,203
01053067,2009,0.4787,0.4356,0.2267,0.1333,0.0978,0.0133,0,0,225,470
01053068,2009,0.2994,0.4468,0.1773,0.1064,0.0993,0.0851,0,0,141,471
01053069,2009,0.3967,0.4057,0.2377,0.127,0.1352,0.0287,0,0,244,615
01053070,2009,0.487,0.2857,0.3036,0.2232,0.1339,0.0179,0,0,112,230
01053071,2009,0.4503,0.3874,0.2342,0.1486,0.0766,0.027,0,0,222,493
01053072,2009,0.522,0.4212,0.2138,0.1102,0.1555,0.0173,0,0,463,887
01053073,2009,0.4799,0.3969,0.1832,0.1069,0.1603,0.0229,0,0,131,273
01053074,2009,0.6051,0.5053,0.1579,0.1158,0.1053,0.0842,0,0,95,157
01053075,2009,0.4655,0.3474,0.2799,0.1636,0.0995,0.027,0,0,593,1274
01053076,2009,0.4533,0.4304,0.1954,0.1247,0.1622,0.0125,0,0,481,1061
01053077,2009,0.5083,0.3987,0.3203,0.0784,0.1111,0.0719,0,0,153,301
01053078,2009,0.5087,0.4205,0.125,0.1591,0.1477,0.0568,0,0,88,173
01053079,2009,0.4091,0.3444,0.2926,0.1481,0.1333,0.037,0,0,270,660
01053080,2009,0.4109,0.4528,0.2075,0.1321,0.1321,0.0189,0,0,53,129
01053081,2009,0.4464,0.4857,0.1086,0.1371,0.1486,0.0457,0,0,175,392
01053082,2009,0.4815,0.4231,0.1923,0.0769,0.2019,0,0,0,104,216
01053083,2009,0.334,0.3487,0.3017,0.1075,0.1147,0.0456,0,0,2894,8664
01053084,2009,0.3757,0.4507,0.2465,0.0352,0.1268,0.0352,0,0,142,378
01053085,2009,0.4028,0.5174,0.1689,0.0885,0.1501,0.0188,0,0,373,926
01053086,2009,0.3347,0.4937,0.1519,0.1013,0.0886,0.038,0,0,79,236
01053087,2009,0.4248,0.4198,0.2922,0.07,0.1317,0.0247,0,0,243,572
01053088,2009,0.726,0.3962,0.3019,0.1132,0.1321,0.0566,0,0,53,73
01053089,2009,0.4086,0.4477,0.1919,0.093,0.0872,0.0523,0,0,172,421
01053090,2009,0.3357,0.3537,0.2464,0.1486,0.1232,0.0401,0,0,5041,15016
01053091,2009,0.4718,0.4627,0.2239,0.1194,0.0746,0.0299,0,0,67,142
01053092,2009,0.4675,0.4306,0.2083,0.1111,0.1167,0.0361,0,0,360,770
01053093,2009,0.4257,0.3804,0.2118,0.098,0.1686,0.0627,0,0,255,599
01053094,2009,0.5159,0.4074,0.2099,0.0988,0.1975,0.0123,0,0,81,157
01053095,2009,0.4361,0.3468,0.2523,0.2027,0.0991,0.036,0,0,222,509
01053096,2009,0.3706,0.3896,0.2597,0.1006,0.1299,0.039,0,0,308,831
01053097,2009,0.3605,0.414,0.2258,0.1559,0.086,0.0215,0,0,186,516
01053098,2009,0.4718,0.4718,0.1972,0.0775,0.2113,0.007,0,0,142,301
01053099,2009,0.5057,0.3864,0.2348,0.1212,0.0758,0.0758,0,0,132,261
01053100,2009,0.3634,0.3754,0.2334,0.1388,0.1171,0.0478,0,0,4041,11121
01053101,2009,0.4429,0.3505,0.2474,0.1443,0.134,0.0309,0,0,97,219
01053102,2009,0.6538,0.7059,0.0294,0,0.0588,0.0294,0,0,34,52
01053103,2009,0.3945,0.3388,0.2939,0.1469,0.1102,0.0367,0,0,245,621
01053104,2009,0.4434,0.3261,0.4022,0.0815,0.1033,0.0109,0,0,184,415
01053106,2009,0.5017,0.4333,0.1933,0.1267,0.2,0.0067,0,0,150,299
01053107,2009,0.468,0.4273,0.163,0.1542,0.1454,0.0441,0,0,227,485
01053108,2009,0.3466,0.3272,0.2197,0.1579,0.1556,0.0343,0,0,437,1261
01053109,2009,0.3296,0.3784,0.1892,0.1622,0.1554,0.0405,0,0,148,449
01053110,2009,0.448,0.3791,0.2559,0.0853,0.109,0.0616,0,0,211,471
01053111,2009,0.4284,0.4021,0.21,0.1032,0.1388,0.0427,0,0,281,656
01053112,2009,0.4076,0.4683,0.1756,0.1171,0.0829,0.0683,0,0,410,1006
01053113,2009,0.4384,0.4108,0.2865,0.0703,0.1081,0.027,0,0,185,422
01053114,2009,0.4818,0.3182,0.1818,0.1818,0.197,0.0758,0,0,66,137
01053115,2009,0.4879,0.5304,0.1436,0.0939,0.1215,0.0497,0,0,181,371
01053116,2009,0.356,0.3412,0.2591,0.1234,0.1342,0.0474,0,0,3963,11131
01053117,2009,0.5044,0.4714,0.1982,0.1057,0.1322,0.0396,0,0,227,450
01053118,2009,0.3968,0.27,0.44,0.095,0.1,0.015,0,0,200,504
01053119,2009,0.4318,0.2947,0.2632,0.1474,0.1263,0.0421,0,0,95,220
01053120,2009,0.306,0.4634,0.1951,0.061,0.122,0.0244,0,0,82,268
01053121,2009,0.4688,0.3167,0.2667,0.1833,0.0417,0.0917,0,0,120,256
01053122,2009,0.3855,0.3529,0.2588,0.1412,0.1235,0.0412,0,0,170,441
01053123,2009,0.415,0.4393,0.1836,0.082,0.1443,0.0393,0,0,305,735
01053124,2009,0.387,0.376,0.264,0.176,0.088,0.024,0,0,125,323
01053125,2009,0.4151,0.3867,0.2818,0.0884,0.0994,0.0331,0,0,181,436
01053126,2009,0.5444,0.3972,0.2553,0.0851,0.156,0.0071,0,0,141,259
01053127,2009,0.5571,0.4103,0.2051,0.1667,0.0641,0.0897,0,0,78,140
01053128,2009,0.569,0.3333,0.1919,0.1717,0.1616,0.0202,0,0,99,174
01053129,2009,0.4487,0.3705,0.1932,0.1698,0.1644,0.0327,0,0,4100,9138
01053130,2009,0.406,0.3119,0.2248,0.1514,0.1651,0.078,0,0,218,537
01053131,2009,0.5252,0.5342,0.137,0.0137,0.2055,0.0548,0,0,73,139
01053132,2009,0.3451,0.4078,0.251,0.0941,0.1059,0.0549,0,0,255,739
01053133,2009,0.5134,0.3924,0.162,0.1801,0.1761,0.0322,0,0,994,1936
01053134,2009,0.4444,0.4907,0.1481,0.1204,0.1296,0.0185,0,0,108,243
01053135,2009,0.6269,0.5119,0.0833,0.0357,0.2619,0.0119,0,0,84,134
01053136,2009,0.4042,0.4675,0.2078,0.1006,0.1299,0.0195,0,0,308,762
01054001,2009,0.351,0.4245,0.2374,0.1343,0.0935,0.0192,0,0,417,1188
01054002,2009,0.3587,0.411,0.2534,0.1233,0.1233,0,0,0,146,407
01054003,2009,0.3248,0.5827,0.1417,0.1024,0.0709,0.0157,0,0,127,391
01054004,2009,0.4115,0.6163,0.2093,0.0814,0.0465,0.0116,0,0,86,209
01054005,2009,0.4601,0.5467,0.1533,0.1133,0.0933,0.0133,0,0,150,326
01054006,2009,0.3253,0.3826,0.2081,0.1141,0.1007,0.0336,0,0,149,458
01054007,2009,0.3815,0.4854,0.2136,0.0874,0.1068,0.0097,0,0,103,270
01054009,2009,0.4142,0.3882,0.2829,0.125,0.1118,0.0329,0,0,152,367
01054010,2009,0.471,0.5727,0.2026,0.0837,0.0793,0.0044,0,0,227,482
01054011,2009,0.3341,0.6159,0.1523,0.0596,0.0993,0.0066,0,0,151,452
01054012,2009,0.3632,0.4326,0.1953,0.1628,0.1023,0.0372,0,0,215,592
01054013,2009,0.4145,0.6984,0.0952,0.0159,0.0635,0,0,0,63,152
01054014,2009,0.3718,0.4295,0.2299,0.1158,0.094,0.0235,0,0,596,1603
01054015,2009,0.4346,0.5398,0.1593,0.1239,0.1062,0.0088,0,0,113,260
01054016,2009,0.5337,0.3368,0.3263,0.1579,0.1053,0.0211,0,0,95,178
01054017,2009,0.3836,0.4378,0.2139,0.1592,0.0746,0.0299,0,0,201,524
01054018,2009,0.3471,0.4407,0.1017,0.1695,0.0339,0.0678,0,0,59,170
01054019,2009,0.2766,0.4129,0.2526,0.1176,0.1054,0.0287,0,0,1148,4150
01054020,2009,0.3164,0.4358,0.2387,0.1013,0.1266,0.0163,0,0,553,1748
01054022,2009,0.4104,0.4757,0.2816,0.1036,0.0421,0.0259,0,0,309,753
01054023,2009,0.4211,0.455,0.26,0.07,0.075,0.045,0,0,200,475
01054024,2009,0.3514,0.4227,0.2274,0.1283,0.0845,0.0292,0,0,343,976
01054025,2009,0.6122,0.6667,0.1,0.0667,0.0667,0.0333,0,0,30,49
01054026,2009,0.8125,0.6154,0,0,0.1538,0.1154,0,0,26,32
01054027,2009,0.6024,0.48,0.1,0.14,0.12,0.02,0,0,50,83
01054032,2009,0.5616,0.3659,0.2683,0.0732,0.122,0.0976,0,0,41,73
01054033,2009,0.3283,0.3521,0.3377,0.0866,0.1126,0.0375,0,0,693,2111
01054034,2009,0.5036,0.7857,0.1429,0.0143,0.0143,0,0,0,70,139
01054035,2009,0.4126,0.4068,0.1949,0.1102,0.1441,0.0593,0,0,118,286
01054036,2009,0.3082,0.4686,0.2021,0.072,0.1394,0.0368,0,0,653,2119
01054037,2009,0.4397,0.469,0.2478,0.0619,0.115,0.0088,0,0,113,257
