ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,winner_party,winner_voteshare,election_type,round,number_voters,eligible_voters
09773000,1952,0.8784,,,,,,,,BP/Fr. Unabh. Wver.,0.6718,Landratswahl,hauptwahl,30914,35193
09773000,1958,0.6083,0.986,,,,,,,CSU,0.986,Landratswahl,hauptwahl,20108,33057
09773000,1964,0.6033,,,,,,,,BP/FUW,0.9895,Landratswahl,hauptwahl,20453,33904
09773000,1970,0.4958,,,,,,,,BP/FUW,0.9894,Landratswahl,hauptwahl,16739,33765
09773000,1972,0.8349,,,,,,,,BP/Wählerunion/FUW,0.9537,Landratswahl,hauptwahl,44342,53111
09773000,1978,0.8423,0.6506,,,,,,,CSU,0.6506,Landratswahl,hauptwahl,47226,56069
09773000,1984,0.7956,0.8006,,,,,,,CSU/Zusamtaler Bl./JU,0.8006,Landratswahl,hauptwahl,47208,59334
09773000,1990,0.7876,0.8038,,,,,,,CSU,0.8038,Landratswahl,hauptwahl,48514,61598
09773000,1996,0.6834,0.8685,,,,,,,CSU,0.8685,Landratswahl,hauptwahl,45366,66380
09773000,2002,0.6628,0.6517,,,,,,,CSU,0.6517,Landratswahl,hauptwahl,46761,70546
09773000,2004,0.5717,,,,,,,,FUW,0.5353,Landratswahl,hauptwahl,41201,72068
09773000,2010,0.4246,,,,,,,,FW,0.8367,Landratswahl,hauptwahl,31012,73042
09773000,2016,0.399,,,,,,,,FW,0.8472,Landratswahl,hauptwahl,29784,74640
09773000,2022,0.4561,,,,,,,,FREIE WÄHLER,0.4816,Landratswahl,hauptwahl,34966,76668
09773000,2022,0.424,,,,,,,,FREIE WÄHLER,0.559,Landratswahl,stichwahl,32456,76554
09774000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09774000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09774000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09774000,1946,,,,,,,,,CSU,,Landratswahl,hauptwahl,,
09774000,1948,,0.9722,,,,,,,CSU,0.9722,Landratswahl,hauptwahl,,45
09774000,1952,0.882,0.6109,,,,,,,CSU,0.6109,Landratswahl,hauptwahl,29019,32900
09774000,1954,0.5673,0.3637,,,,,,,CSU,0.3637,Landratswahl,hauptwahl,18422,32473
09774000,1954,1,0.6222,,,,,,,CSU,0.6222,Landratswahl,stichwahl,45,45
09774000,1960,0.3898,0.9856,,,,,,,CSU,0.9856,Landratswahl,hauptwahl,12626,32387
09774000,1966,0.8406,0.981,,,,,,,CSU,0.981,Landratswahl,hauptwahl,28493,33895
09774000,1967,0.629,0.6426,,,,,,,CSU,0.6426,Landratswahl,hauptwahl,21417,34047
09774000,1972,0.7938,0.9735,,,,,,,CSU,0.9735,Landratswahl,hauptwahl,53755,67718
09774000,1978,0.8086,0.9794,,,,,,,CSU,0.9794,Landratswahl,hauptwahl,57042,70546
09774000,1984,0.7456,0.9724,,,,,,,CSU,0.9724,Landratswahl,hauptwahl,57576,77218
09774000,1990,0.7415,0.9619,,,,,,,CSU,0.9619,Landratswahl,hauptwahl,58886,79414
09774000,1996,0.6739,0.5836,,,,,,,CSU,0.5836,Landratswahl,hauptwahl,57249,84950
09774000,2002,0.6633,0.966,,,,,,,CSU,0.966,Landratswahl,hauptwahl,58839,88712
09774000,2008,0.6026,0.8223,,,,,,,CSU,0.8223,Landratswahl,hauptwahl,54688,90746
09774000,2014,0.5494,0.7802,,,,,,,CSU,0.7802,Landratswahl,hauptwahl,50950,92731
09774000,2020,0.5678,0.5567,,,,,,,CSU/FREIE WÄHLER/Junge Union Bayern,0.5567,Landratswahl,hauptwahl,55085,97014
09774000,2026,0.6449,0.5698,,,,,,,CSU,0.5698,Landratswahl,hauptwahl,62947,97611
09775000,1945,,,,,,,,,,,Landratswahl,hauptwahl,,
09775000,1946,,0.9333,,,,,,,CSU,0.9333,Landratswahl,hauptwahl,,
09775000,1947,,0.5172,,,,,,,CSU,0.5172,Landratswahl,hauptwahl,,
09775000,1948,1,,,,,,,,Part.lo.,0.6667,Landratswahl,hauptwahl,39,39
09775000,1952,0.8879,0.9845,,,,,,,CSU/F.D.P./Wirtschaftspartei/Wgem.,0.9845,Landratswahl,hauptwahl,22361,25184
09775000,1958,0.5466,0.9773,,,,,,,CSU,0.9773,Landratswahl,hauptwahl,13732,25124
09775000,1964,0.6169,0.9923,,,,,,,CSU,0.9923,Landratswahl,hauptwahl,16994,27546
09775000,1969,0.7032,0.5073,,,,,,,CSU,0.5073,Landratswahl,hauptwahl,20147,28650
09775000,1972,0.7626,,0.5332,,,,,,SPD,0.5332,Landratswahl,hauptwahl,63415,83153
09775000,1974,0.5243,0.7301,,,,,,,CSU,0.7301,Landratswahl,hauptwahl,45597,86972
