ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,winner_party,winner_voteshare,election_type,round,number_voters,eligible_voters
03353040,2019,0.6412,0.5469,,,,,,,CDU,0.5469,Bürgermeisterwahl,hauptwahl,17973,28029
03355001,2011,0.5447,,0.7,,,,,,SPD,0.7,Bürgermeisterwahl,hauptwahl,5075,9317
03355001,2019,0.6947,,0.7889,,,,,,SPD,0.7889,Bürgermeisterwahl,hauptwahl,6197,8921
03355009,2006,0.5426,,,,,,,,,,Bürgermeisterwahl,hauptwahl,4201,7742
03355009,2006,0.4303,0.5566,,,,,,,CDU,0.5566,Bürgermeisterwahl,stichwahl,3360,7808
03355009,2014,0.5227,0.6082,,,,,,,CDU,0.6082,Bürgermeisterwahl,hauptwahl,4121,7884
03355022,2006,0.4722,,0.6127,,,,,,SPD,0.6127,Oberbürgermeisterwahl,hauptwahl,26410,55933
03355022,2014,0.5272,,,,,,,,,,Oberbürgermeisterwahl,hauptwahl,30768,58361
03355022,2014,0.3273,,0.7141,,,,,,SPD,0.7141,Oberbürgermeisterwahl,stichwahl,19126,58436
03355022,2021,0.5624,,,,,,,,,,Oberbürgermeisterwahl,hauptwahl,33703,59923
03355022,2021,0.6612,,,0.5546,,,,,GRÜNE,0.5546,Oberbürgermeisterwahl,stichwahl,39676,60010
03355049,2011,0.6805,,,,,,,,EB,0.5964,Bürgermeisterwahl,hauptwahl,2879,4231
03355049,2019,0.665,0.5043,,,,,,,CDU,0.5043,Bürgermeisterwahl,hauptwahl,2713,4080
03356002,2006,0.5767,0.6512,,,,,,,CDU,0.6512,Bürgermeisterwahl,hauptwahl,3505,6078
03356002,2014,0.5033,0.9079,,,,,,,CDU,0.9079,Bürgermeisterwahl,hauptwahl,3145,6249
03356002,2021,0.64,0.8226,,,,,,,CDU,0.8226,Bürgermeisterwahl,hauptwahl,4172,6519
03356005,2011,0.5557,,,0.734,,,,,GRÜNE,0.734,Bürgermeisterwahl,hauptwahl,8239,14826
03356005,2016,0.5977,,,,,,,,,,Bürgermeisterwahl,hauptwahl,9262,15496
03356005,2016,0.4303,0.6515,,,,,,,CDU,0.6515,Bürgermeisterwahl,stichwahl,6661,15479
03356005,2021,0.6301,,,,,,,,,,Bürgermeisterwahl,hauptwahl,10291,16332
03356005,2021,0.656,0.5649,,,,,,,CDU,0.5649,Bürgermeisterwahl,stichwahl,10699,16310
03356007,2006,0.4698,,0.6366,,,,,,SPD,0.6366,Bürgermeisterwahl,hauptwahl,11480,24434
03356007,2014,0.4812,,,,,,,,EB,0.5902,Bürgermeisterwahl,hauptwahl,11858,24643
03356007,2021,0.5596,,,,,,,,EB,0.7083,Bürgermeisterwahl,hauptwahl,13660,24411
03356008,2006,0.5202,,,,,,,,,,Bürgermeisterwahl,hauptwahl,6167,11855
03356008,2006,0.4345,,0.529,,,,,,SPD,0.529,Bürgermeisterwahl,stichwahl,5157,11868
03356008,2014,0.5691,,0.5025,,,,,,SPD,0.5025,Bürgermeisterwahl,hauptwahl,6965,12239
03356008,2021,0.5937,,,,,,,,,,Bürgermeisterwahl,hauptwahl,7198,12123
03356008,2021,0.6626,,0.6604,,,,,,SPD,0.6604,Bürgermeisterwahl,stichwahl,8032,12122
03356009,2006,0.5662,,0.6742,,,,,,SPD,0.6742,Bürgermeisterwahl,hauptwahl,8949,15805
03356009,2014,0.4867,,0.8036,,,,,,SPD,0.8036,Bürgermeisterwahl,hauptwahl,7914,16259
03356011,2006,0.6441,,,,,,,,EB,0.7339,Bürgermeisterwahl,hauptwahl,4718,7325
03356011,2014,0.493,,,,,,,,EB,0.8049,Bürgermeisterwahl,hauptwahl,3904,7919
03356011,2021,0.6626,,,,,,,,EB,0.6507,Bürgermeisterwahl,hauptwahl,5490,8286
03357008,2006,0.5577,0.5825,,,,,,,CDU,0.5825,Bürgermeisterwahl,hauptwahl,8580,15384
03357008,2014,0.5355,0.6535,,,,,,,CDU,0.6535,Bürgermeisterwahl,hauptwahl,8320,15538
03357008,2021,0.6027,,,,,,,,EB,0.6271,Bürgermeisterwahl,hauptwahl,9182,15235
03357016,2006,0.6084,,0.5166,,,,,,SPD,0.5166,Bürgermeisterwahl,hauptwahl,4725,7766
03357016,2014,0.484,,0.7725,,,,,,SPD,0.7725,Bürgermeisterwahl,hauptwahl,3670,7582
03357016,2021,0.6974,0.598,,,,,,,CDU,0.598,Bürgermeisterwahl,hauptwahl,5398,7740
03357039,2006,0.5124,0.6179,,,,,,,CDU,0.6179,Bürgermeisterwahl,hauptwahl,9196,17947
03357039,2014,0.5576,,0.5957,,,,,,SPD,0.5957,Bürgermeisterwahl,hauptwahl,10019,17968
03357041,2006,0.5945,0.6534,,,,,,,CDU,0.6534,Bürgermeisterwahl,hauptwahl,6108,10275
03357041,2014,0.6247,0.6345,,,,,,,CDU,0.6345,Bürgermeisterwahl,hauptwahl,6595,10557
03357041,2021,0.6332,0.7778,,,,,,,CDU,0.7778,Bürgermeisterwahl,hauptwahl,6711,10598
03357051,2006,0.5848,,0.5579,,,,,,SPD,0.5579,Bürgermeisterwahl,hauptwahl,4969,8497
03357051,2014,0.5638,,,,,,,,EB,0.7129,Bürgermeisterwahl,hauptwahl,4725,8380
03357051,2021,0.5758,,,,,,,,EB,0.5691,Bürgermeisterwahl,hauptwahl,4730,8215
03358008,2014,0.5328,,,,,,,,,,Bürgermeisterwahl,hauptwahl,4856,9114
03358008,2014,0.4274,,,,,,,,EB,0.5353,Bürgermeisterwahl,stichwahl,3901,9128
03358008,2021,0.5083,,0.5023,,,,,,SPD,0.5023,Bürgermeisterwahl,hauptwahl,5104,10042
03358016,2006,0.4641,0.7547,,,,,,,CDU,0.7547,Bürgermeisterwahl,hauptwahl,6107,13160
03358016,2014,0.5059,,0.5465,,,,,,SPD,0.5465,Bürgermeisterwahl,hauptwahl,6471,12790
03358016,2021,0.5168,,,,,,,,,,Bürgermeisterwahl,hauptwahl,6413,12410
03358016,2021,0.591,0.5069,,,,,,,CDU,0.5069,Bürgermeisterwahl,stichwahl,7329,12400
03358019,2011,0.6086,,0.4309,,,,,,SPD,0.4309,Bürgermeisterwahl,hauptwahl,9390,15429
03358019,2019,0.6032,,,,,,,,EB,0.8907,Bürgermeisterwahl,hauptwahl,9410,15599
03358021,2006,0.503,,,,,,,,,,Bürgermeisterwahl,hauptwahl,8968,17828
03358021,2006,0.4416,,0.6687,,,,,,SPD,0.6687,Bürgermeisterwahl,stichwahl,7404,16766
03358021,2014,0.5183,,,,,,,,,,Bürgermeisterwahl,hauptwahl,9311,17966
03358021,2014,0.4271,,,,,,,,EB,0.6172,Bürgermeisterwahl,stichwahl,7636,17879
03358021,2021,0.5263,,,,,,,,EB,0.5463,Bürgermeisterwahl,hauptwahl,9291,17652
03358021,2025,0.7511,,,,,,,,,,Bürgermeisterwahl,hauptwahl,13297,17703
03358023,2011,0.5701,0.9138,,,,,,,CDU,0.9138,Bürgermeisterwahl,hauptwahl,1863,3268
03358023,2019,0.6987,,,,,,,,,,Bürgermeisterwahl,hauptwahl,2391,3422
03358023,2019,,,,,,,,,EB,,Bürgermeisterwahl,stichwahl,,
03358024,2006,0.525,,,,,,,,,0.792,Bürgermeisterwahl,hauptwahl,13341,25411
03358024,2006,0.3881,0.6026,,,,,,,CDU,0.6026,Bürgermeisterwahl,stichwahl,7589,19554
03358024,2014,0.5064,,,,,,,,EB,0.5973,Bürgermeisterwahl,hauptwahl,12800,25277
03359010,2006,0.4579,0.5368,,,,,,,CDU,0.5368,Bürgermeisterwahl,hauptwahl,14081,30753
03359010,2014,0.5118,,,,,,,,EB,0.5959,Bürgermeisterwahl,hauptwahl,16391,32025
03359010,2021,0.5529,,,,,,,,EB,0.6611,Bürgermeisterwahl,hauptwahl,17947,32458
03359013,2021,0.5652,,,,,,,,EB,0.8708,Bürgermeisterwahl,hauptwahl,5319,9411
03359028,2011,0.6087,,,,,,,,WGR BÜRGERVEREIN JORK (BVJ),0.5085,Bürgermeisterwahl,hauptwahl,5786,9505
03359028,2019,0.6379,,,,,,,,EB,0.888,Bürgermeisterwahl,hauptwahl,6422,10068
03359038,2006,0.4469,,,,,,,,,,Bürgermeisterwahl,hauptwahl,16554,37042
03359038,2006,0.3284,,0.6158,,,,,,SPD,0.6158,Bürgermeisterwahl,stichwahl,12172,37060
