ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01051128,1998,0.7264,0.3553,0.4342,0.0526,0.0658,,,,77,106
01051128,2003,0.7429,0.4744,0.3718,0.0385,0.0769,,,,78,105
01051128,2008,0.6562,0.3855,0.241,0.0241,0.1205,0.1928,,,84,128
01051128,2013,0.6667,0.3896,0.2078,0.1299,0.0909,0.1039,,,78,117
01051128,2018,0.6082,,,,,,,,59,97
01051128,2023,0.6961,,,,,,,,71,102
01051129,1994,0.8245,0.4768,0.3841,0.0464,0.0132,,,,155,188
01051129,1998,0.756,0.3968,0.4683,0.0238,0.0317,,,,127,168
01051129,2003,0.7333,0.5182,0.2545,0.0182,0.1,,,,110,150
01051129,2008,0.6154,0.5,0.2442,,0.1047,0.0581,,,88,143
01051129,2013,0.5486,0.4231,0.2692,0.0256,0.1282,,,,79,144
01051129,2018,0.5556,,,,,,,,80,144
01051129,2023,0.5267,,,,,,,,79,150
01051130,1994,0.8406,0.3617,0.4519,0.0691,0.0309,,,,833,991
01051130,1998,0.7897,0.3446,0.4919,0.0287,0.0375,,,,811,1027
01051130,2003,0.7172,0.4797,0.3284,0.0649,0.0662,,,,761,1061
01051130,2008,0.683,0.4032,0.2964,0.083,0.0962,0.0501,,,795,1164
01051130,2013,0.6653,0.4524,0.3252,0.1144,0.036,0.0244,,,799,1201
01051130,2018,0.6457,,,,,,,,780,1208
01051130,2023,0.6501,,,,,,,,760,1169
01051131,1994,0.8158,0.3833,0.3,0.0333,0.1167,,,,62,76
01051131,1998,0.9041,0.5077,0.2462,0.0462,0.0154,,,,66,73
01051131,2003,0.8235,0.6957,0.1304,0.058,,,,,70,85
01051131,2008,0.7791,0.3333,0.0317,0.0952,0.127,0.0476,,,67,86
01051131,2013,0.7326,0.5714,0.1111,0.1429,0.0794,0.0317,,,63,86
01051131,2018,0.7625,,,,,,,,61,80
01051131,2023,0.8152,,,,,,,,75,92
01051132,1994,0.7,0.4283,0.3969,0.0605,0.0224,,,,462,660
01051132,1998,0.6122,0.3665,0.4709,0.0461,0.0291,,,,420,686
01051132,2003,0.6028,0.554,0.3046,0.0336,0.048,,,,434,720
